text,name,ratings,no_of_ratings,discount_price,actual_price,category_source
KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 4} stores Amazon Fashion,KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 4},,,"₹1,599","₹1,649",Amazon Fashion.csv
"TrustBasket Garden Red Soil 5 Kg (Pack of 1) | Organic, Well-Drained, and aerated Potting Soil for All Vegetables, Fruits,... stores Amazon Fashion","TrustBasket Garden Red Soil 5 Kg (Pack of 1) | Organic, Well-Drained, and aerated Potting Soil for All Vegetables, Fruits,...",4.1,"2,715",₹229,₹266,Amazon Fashion.csv
MMOBIEL Watch Case Back Opener Adjustable Remover Screw Wrench Compatible with Battery Replacing and Watch Repair stores Amazon Fashion,MMOBIEL Watch Case Back Opener Adjustable Remover Screw Wrench Compatible with Battery Replacing and Watch Repair,3.8,"2,254",₹349,₹799,Amazon Fashion.csv
Liberty Mens Force-8 Running Shoe stores Amazon Fashion,Liberty Mens Force-8 Running Shoe,4.2,77,"₹1,187","₹1,199",Amazon Fashion.csv
Shining Diva Fashion 18k Gold Plated Latest Stylish Fancy Choker Traditional Pearl Necklace Jewellery Set for Women stores Amazon Fashion,Shining Diva Fashion 18k Gold Plated Latest Stylish Fancy Choker Traditional Pearl Necklace Jewellery Set for Women,3.5,125,₹320,"₹1,999",Amazon Fashion.csv
hotfits Stylish Men Black & Grey Cotton Shorts-Pack of 2 stores Amazon Fashion,hotfits Stylish Men Black & Grey Cotton Shorts-Pack of 2,3.7,189,₹439,₹998,Amazon Fashion.csv
American Tourister AMT Splash SP55CM Multi Color stores Amazon Fashion,American Tourister AMT Splash SP55CM Multi Color,4.8,43,"₹3,498","₹4,400",Amazon Fashion.csv
"Kuber Industries Bolster Cover|Soft Bolster Pillow Cover for Bedroom, Living Room|Bolster Cover Set of 2|White & Pink stores Amazon Fashion","Kuber Industries Bolster Cover|Soft Bolster Pillow Cover for Bedroom, Living Room|Bolster Cover Set of 2|White & Pink",4.1,981,₹211,₹249,Amazon Fashion.csv
PARAGON mens K2205g Slipper stores Amazon Fashion,PARAGON mens K2205g Slipper,3.8,147,₹386,₹429,Amazon Fashion.csv
"BRAND AFFAIRS Men's Leather Silicone Hybrid Watch Strap, Compatible with Samsung Gear S3 Galaxy Watch 3 45mm, Galaxy Watch... stores Amazon Fashion","BRAND AFFAIRS Men's Leather Silicone Hybrid Watch Strap, Compatible with Samsung Gear S3 Galaxy Watch 3 45mm, Galaxy Watch...",3.6,127,₹899,"₹1,399",Amazon Fashion.csv
Jockey Men Midi Brief (Pack of 2) stores Amazon Fashion,Jockey Men Midi Brief (Pack of 2),4.2,781,₹235,₹358,Amazon Fashion.csv
"Olay Total Effects Serum |with Vitamin C, B5, Niacinamide, Green Tea |Fights 7 signs of ageing for glowing, hydrated and y... stores Amazon Fashion","Olay Total Effects Serum |with Vitamin C, B5, Niacinamide, Green Tea |Fights 7 signs of ageing for glowing, hydrated and y...",4.2,"1,972",₹599,₹999,Amazon Fashion.csv
FOK Set of 18 Pieces Fancy Headwear Acessories For Baby Girls/Toddlers - Pink stores Amazon Fashion,FOK Set of 18 Pieces Fancy Headwear Acessories For Baby Girls/Toddlers - Pink,4.1,551,₹246,₹499,Amazon Fashion.csv
KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 5} stores Amazon Fashion,KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 5},,,"₹1,849","₹1,949",Amazon Fashion.csv
"Nivia Combat 2.0 Basketball Shoes for Mens | Phylon, Rubber & TPU Shank Sole with Spacer Mesh Covered with TPU Film Upper... stores Amazon Fashion","Nivia Combat 2.0 Basketball Shoes for Mens | Phylon, Rubber & TPU Shank Sole with Spacer Mesh Covered with TPU Film Upper...",4.0,450,"₹1,852","₹2,315",Amazon Fashion.csv
"RajasthaniKart Pure Cotton 144 TC Single Size Bed Sheet with 1 Pillow Cover - Bedsheet for Single Bed (Blue, Single Bedshe... stores Amazon Fashion","RajasthaniKart Pure Cotton 144 TC Single Size Bed Sheet with 1 Pillow Cover - Bedsheet for Single Bed (Blue, Single Bedshe...",3.7,"4,891",₹299,₹829,Amazon Fashion.csv
Ghelonadi Women Cotton Body Shaper Panties Tummy Control Women Briefs Panties Shapewear Free Size stores Amazon Fashion,Ghelonadi Women Cotton Body Shaper Panties Tummy Control Women Briefs Panties Shapewear Free Size,3.7,132,₹299,₹699,Amazon Fashion.csv
ZOVUTA Stylish and Fashionable Waterproof LED Square Dial Watch for Boys and Girls stores Amazon Fashion,ZOVUTA Stylish and Fashionable Waterproof LED Square Dial Watch for Boys and Girls,5.0,5,₹289,₹999,Amazon Fashion.csv
I Jewels Silver & Gold Plated Ethnic Kundan Studded Kamarband/Waist Belly Chain for Women (B016-1) stores Amazon Fashion,I Jewels Silver & Gold Plated Ethnic Kundan Studded Kamarband/Waist Belly Chain for Women (B016-1),3.7,498,₹425,"₹3,290",Amazon Fashion.csv
AUXTER Music 33 Ltrs Black School Bag Travel Bagpack Casual Backpack stores Amazon Fashion,AUXTER Music 33 Ltrs Black School Bag Travel Bagpack Casual Backpack,3.9,694,₹598.92,"₹1,050",Amazon Fashion.csv
Kuber Industries Plastic 3 Layer Multi-Purpose Kitchen Storage Basket Rack (Grey) | Vegetable Basket For Kitchen stores Amazon Fashion,Kuber Industries Plastic 3 Layer Multi-Purpose Kitchen Storage Basket Rack (Grey) | Vegetable Basket For Kitchen,3.6,"3,248",₹284,₹299,Amazon Fashion.csv
"NISUN Canvas Small Sling Cross Body One Side Bag For Men & Women - (Olive Green,21.5 X 16.5 x 24.5 Cm) stores Amazon Fashion","NISUN Canvas Small Sling Cross Body One Side Bag For Men & Women - (Olive Green,21.5 X 16.5 x 24.5 Cm)",3.9,873,₹585,"₹1,599",Amazon Fashion.csv
Switchon Rayon Mill Tie dye Innovative scarf cum Mask for Women with closer 4 inch velrco size adjustable stores Amazon Fashion,Switchon Rayon Mill Tie dye Innovative scarf cum Mask for Women with closer 4 inch velrco size adjustable,4.1,74,₹279,₹645,Amazon Fashion.csv
Dhathri Hair Care Plus Herbal Oil | Ayurvedic hair oil for intense hair fall problems | Herbal hair oil with 21 Ingredient... stores Amazon Fashion,Dhathri Hair Care Plus Herbal Oil | Ayurvedic hair oil for intense hair fall problems | Herbal hair oil with 21 Ingredient...,4.1,"1,846",₹193,₹275,Amazon Fashion.csv
"IIK COLLECTION Digital Dial with Day, Date, Alarm, Backlight with Army Design Strap Sports Men's & Boy's Watch stores Amazon Fashion","IIK COLLECTION Digital Dial with Day, Date, Alarm, Backlight with Army Design Strap Sports Men's & Boy's Watch",3.4,11,₹249,"₹1,499",Amazon Fashion.csv
Dtron 22mm Silicone Smart Watch Replacement Band Universal Strap Compatible with Samsung Watch 3 45mm / Samsung Gear S3 Cl... stores Amazon Fashion,Dtron 22mm Silicone Smart Watch Replacement Band Universal Strap Compatible with Samsung Watch 3 45mm / Samsung Gear S3 Cl...,3.5,2,₹299,"₹1,299",Amazon Fashion.csv
KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 2} stores Amazon Fashion,KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 2},,,₹849,₹899,Amazon Fashion.csv
Red Chief Leather with Lace Formal Shoes for Men RC3499 stores Amazon Fashion,Red Chief Leather with Lace Formal Shoes for Men RC3499,4.0,"2,371","₹2,253","₹4,099",Amazon Fashion.csv
Walker Tape C22 Solvent 4Oz Spray For Lace Wigs & Toupees by Walker Tape 118ml stores Amazon Fashion,Walker Tape C22 Solvent 4Oz Spray For Lace Wigs & Toupees by Walker Tape 118ml,4.2,"4,018",₹690,"₹1,500",Amazon Fashion.csv
Brachy Girl's High Waist Nylon Stockings Fine Fiber Excellent Stretch Sheer Tights Long Comfort Soft Pantyhose Pack of 1 (... stores Amazon Fashion,Brachy Girl's High Waist Nylon Stockings Fine Fiber Excellent Stretch Sheer Tights Long Comfort Soft Pantyhose Pack of 1 (...,2.9,125,₹142,₹999,Amazon Fashion.csv
Skybags Decode 11Ltr Daypack stores Amazon Fashion,Skybags Decode 11Ltr Daypack,3.7,460,₹599,"₹1,398",Amazon Fashion.csv
SWADESI STUFF Unique Style Time Analogue Men and Women Watch (Black Dial & Black Colored Leather Strap) stores Amazon Fashion,SWADESI STUFF Unique Style Time Analogue Men and Women Watch (Black Dial & Black Colored Leather Strap),3.3,107,₹229,₹999,Amazon Fashion.csv
Voylla Brass Silver Oxidised Moksh Statement Earrings for Women and Girls stores Amazon Fashion,Voylla Brass Silver Oxidised Moksh Statement Earrings for Women and Girls,3.6,21,₹89,₹299,Amazon Fashion.csv
All Out Ultra Mosquito Repellant Starter Pack Of 1 stores Amazon Fashion,All Out Ultra Mosquito Repellant Starter Pack Of 1,4.2,"2,594",₹89.12,₹95,Amazon Fashion.csv
KAPGGRILA Non Woven Disposable Shoe Cover 100pcs Blue stores Amazon Fashion,KAPGGRILA Non Woven Disposable Shoe Cover 100pcs Blue,3.2,34,₹200,₹599,Amazon Fashion.csv
Jockey Women's Cotton Cross Over Bra stores Amazon Fashion,Jockey Women's Cotton Cross Over Bra,4.2,"4,119",₹498,₹569,Amazon Fashion.csv
"Clazkit Silicone Muffin Cup Moulds - 8 Pieces, Assorted, Silicone stores Amazon Fashion","Clazkit Silicone Muffin Cup Moulds - 8 Pieces, Assorted, Silicone",4.3,"2,741",₹131,₹299,Amazon Fashion.csv
KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 4} stores Amazon Fashion,KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 4},,,"₹1,599","₹1,649",Amazon Fashion.csv
Joker & Witch Ilsa Black Dial Watch Bracelet Gift Set for Women stores Amazon Fashion,Joker & Witch Ilsa Black Dial Watch Bracelet Gift Set for Women,4.2,7,₹974,"₹3,899",Amazon Fashion.csv
High Trendz Black Thread Adjustable Knot Anklet with Evil Eye and Charm for Women and Girls stores Amazon Fashion,High Trendz Black Thread Adjustable Knot Anklet with Evil Eye and Charm for Women and Girls,4.2,179,₹99,₹449,Amazon Fashion.csv
Campus Women's Matty Walking Shoes stores Amazon Fashion,Campus Women's Matty Walking Shoes,4.0,607,₹781,"₹1,119",Amazon Fashion.csv
Avantika Fashion Women And Girls Banarasi Linen Saree With Blouse Piece (Kovai Pattu_White) stores Amazon Fashion,Avantika Fashion Women And Girls Banarasi Linen Saree With Blouse Piece (Kovai Pattu_White),3.8,20,₹799,"₹3,999",Amazon Fashion.csv
"Beardo Dark Side Eau De Parfum Men| Fresh, Woody PREMIUM Perfume for Men Long Lasting | Date Night fragrance, Body Spray f... stores Amazon Fashion","Beardo Dark Side Eau De Parfum Men| Fresh, Woody PREMIUM Perfume for Men Long Lasting | Date Night fragrance, Body Spray f...",3.7,"2,511",₹600,"₹1,500",Amazon Fashion.csv
Sonata Analog White Dial Women's Watch NM87018YL03/NN87018YL03W/NP87018YL03W stores Amazon Fashion,Sonata Analog White Dial Women's Watch NM87018YL03/NN87018YL03W/NP87018YL03W,4.3,222,,₹625,Amazon Fashion.csv
University Trendz I Love You 100 Language Rose Gold Crown Ring with Artificial Red Rose & Soft Teddy Bear with Flower Box ... stores Amazon Fashion,University Trendz I Love You 100 Language Rose Gold Crown Ring with Artificial Red Rose & Soft Teddy Bear with Flower Box ...,3.9,190,₹400,₹999,Amazon Fashion.csv
"Swiss Beauty Waterproof and Long wearing Bold Felt Tip Pen Eyeliner | Smudge Proof Eye Makeup | Quick Drying |Black, 1.2 ml | stores Amazon Fashion","Swiss Beauty Waterproof and Long wearing Bold Felt Tip Pen Eyeliner | Smudge Proof Eye Makeup | Quick Drying |Black, 1.2 ml |",3.9,620,₹179,₹249,Amazon Fashion.csv
G 1 Oxo Biodegradable Garbage/Trash/Dustbin Bags for Home Kitchen Hotels Hospitals | 19 X 21 Inch Medium Size | Black Colo... stores Amazon Fashion,G 1 Oxo Biodegradable Garbage/Trash/Dustbin Bags for Home Kitchen Hotels Hospitals | 19 X 21 Inch Medium Size | Black Colo...,4.1,"1,123",₹250.01,₹450,Amazon Fashion.csv
CERO Boy's Avenger Printed Analog Watch and King Bracelet Combo (Black) stores Amazon Fashion,CERO Boy's Avenger Printed Analog Watch and King Bracelet Combo (Black),3.7,282,₹239,₹999,Amazon Fashion.csv
KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 4} stores Amazon Fashion,KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 4},,,"₹1,599","₹1,649",Amazon Fashion.csv
"Hiputee U Shaped Pregnancy Pillow for Sleeping, Full Body Pillow for Pregnant Women with Washable Holland Velvet Cover (Gr... stores Amazon Fashion","Hiputee U Shaped Pregnancy Pillow for Sleeping, Full Body Pillow for Pregnant Women with Washable Holland Velvet Cover (Gr...",4.2,924,"₹1,709","₹6,121",Amazon Fashion.csv
Amazon Brand - Inkast Denim Co. Men's Slim Casual Pants stores Amazon Fashion,Amazon Brand - Inkast Denim Co. Men's Slim Casual Pants,3.8,816,₹959,"₹2,499",Amazon Fashion.csv
"Capital lifestyle Plain Rubber Band to Tie Hair and Pony Elastic Ponytail for Girls and Women (Pack of 20 pcs, Dark Multi) stores Amazon Fashion","Capital lifestyle Plain Rubber Band to Tie Hair and Pony Elastic Ponytail for Girls and Women (Pack of 20 pcs, Dark Multi)",5.0,1,₹172,₹200,Amazon Fashion.csv
Calyrex Women's Utility Tote Bag Teacher Purses and Handbags for Nurses Waterproof Nylon Multi Pocket Shoulder Bags Work B... stores Amazon Fashion,Calyrex Women's Utility Tote Bag Teacher Purses and Handbags for Nurses Waterproof Nylon Multi Pocket Shoulder Bags Work B...,3.2,6,₹989,"₹2,199",Amazon Fashion.csv
Aristocrat 45 Ltrs Black Rucksack stores Amazon Fashion,Aristocrat 45 Ltrs Black Rucksack,4.1,298,"₹1,692","₹3,400",Amazon Fashion.csv
FLYNGO Multipurpose Storage Holder Stand for Bathroom Toothbrush Tongue Cleaner Soap Comb Razor Shaving Kit and Toiletries... stores Amazon Fashion,FLYNGO Multipurpose Storage Holder Stand for Bathroom Toothbrush Tongue Cleaner Soap Comb Razor Shaving Kit and Toiletries...,4.3,973,₹395,₹699,Amazon Fashion.csv
Titan Ladies Karishma 2020-21 Analog Blue Dial Women's Watch-2638SM01 stores Amazon Fashion,Titan Ladies Karishma 2020-21 Analog Blue Dial Women's Watch-2638SM01,4.6,8,,"₹1,995",Amazon Fashion.csv
"Hawkins Idli Stand - 12 Mini Idlis, (For 3 Litre and bigger Pressure Cooker), Silver (ID12S),Aluminium stores Amazon Fashion","Hawkins Idli Stand - 12 Mini Idlis, (For 3 Litre and bigger Pressure Cooker), Silver (ID12S),Aluminium",3.9,"12,850",,₹310,Amazon Fashion.csv
M Men Style Angle Wing Feather Locket With Chain Stainless Steel Sterling Silver Pendant For Mens And Womens stores Amazon Fashion,M Men Style Angle Wing Feather Locket With Chain Stainless Steel Sterling Silver Pendant For Mens And Womens,3.3,23,₹320,₹359,Amazon Fashion.csv
Habere India-All the Cultures Fabricating India Handmade Small Dry grass/Natural Cane/Chic Dry Grass bag/handbag from Mani... stores Amazon Fashion,Habere India-All the Cultures Fabricating India Handmade Small Dry grass/Natural Cane/Chic Dry Grass bag/handbag from Mani...,4.3,181,₹920,"₹1,499",Amazon Fashion.csv
Hetkrishi Combination Lock 4 Digit Bag Lock Number Lock for Bag Luggage Door Gate Tool Box Padlock 4-Digit Safe Pin Passwo... stores Amazon Fashion,Hetkrishi Combination Lock 4 Digit Bag Lock Number Lock for Bag Luggage Door Gate Tool Box Padlock 4-Digit Safe Pin Passwo...,4.0,33,₹149,"₹1,299",Amazon Fashion.csv
"Acetap Plastic Fusion High-Pressure Replacement Water Aerator Tap and Faucet Foam Flow, Blue , Pack of 20 stores Amazon Fashion","Acetap Plastic Fusion High-Pressure Replacement Water Aerator Tap and Faucet Foam Flow, Blue , Pack of 20",4.1,"2,385",₹171,₹499,Amazon Fashion.csv
"ANGELOU CREATIONS Women's Calf Length Capri Cropped Leggings Cotton Lycra Fabric Slim Fit 3/4th | Pants (Free Size, Pack o... stores Amazon Fashion","ANGELOU CREATIONS Women's Calf Length Capri Cropped Leggings Cotton Lycra Fabric Slim Fit 3/4th | Pants (Free Size, Pack o...",3.7,15,₹489,₹999,Amazon Fashion.csv
KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 2} stores Amazon Fashion,KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 2},,,₹849,₹899,Amazon Fashion.csv
Titan Mens Gents NEO V Phase I Black Dial Stainless Steel Analogue Watch - 1805NM02 stores Amazon Fashion,Titan Mens Gents NEO V Phase I Black Dial Stainless Steel Analogue Watch - 1805NM02,3.7,9,,"₹6,845",Amazon Fashion.csv
RUBX Rubber Coated Professional Exercise Hex Fixed Dumbbells (Pack of Two) 5 Kg x 2pc (Total = 10 kg) Black stores Amazon Fashion,RUBX Rubber Coated Professional Exercise Hex Fixed Dumbbells (Pack of Two) 5 Kg x 2pc (Total = 10 kg) Black,4.6,"6,577","₹1,599","₹3,000",Amazon Fashion.csv
Perman Fashion Vintage Vampire Diaries Salvatore Damon Stefan Finger Family Crest Ring by Perman stores Amazon Fashion,Perman Fashion Vintage Vampire Diaries Salvatore Damon Stefan Finger Family Crest Ring by Perman,4.0,9,₹399,₹699,Amazon Fashion.csv
"Kriwin Small Size Silk Organza Potli Gift Bags (18 X 12 cm) Pack of 50, Golden stores Amazon Fashion","Kriwin Small Size Silk Organza Potli Gift Bags (18 X 12 cm) Pack of 50, Golden",4.2,365,₹649,₹999,Amazon Fashion.csv
"Safari Crypto 55 & 65 Cms Polycarbonate Midnight Blue Cabin Medium 4 wheels Hard Suitcase, Luggage for Travel (CRYPTOSM4WMBL) stores Amazon Fashion","Safari Crypto 55 & 65 Cms Polycarbonate Midnight Blue Cabin Medium 4 wheels Hard Suitcase, Luggage for Travel (CRYPTOSM4WMBL)",4.5,23,"₹5,376.07","₹17,900",Amazon Fashion.csv
Ben Martin Men's Relaxed Shorts (BM-Shorts-White) stores Amazon Fashion,Ben Martin Men's Relaxed Shorts (BM-Shorts-White),4.0,381,₹599,"₹2,499",Amazon Fashion.csv
PILGRIM Korean 5% Vitamin C Face Serum (Oil Based) for glowing skin with Hyaluronic acid | Vitamin c serum for radiant ski... stores Amazon Fashion,PILGRIM Korean 5% Vitamin C Face Serum (Oil Based) for glowing skin with Hyaluronic acid | Vitamin c serum for radiant ski...,3.9,"2,593",₹397,₹550,Amazon Fashion.csv
Shocknshop Digital Sports Multi Functional Watch for Mens Boys (Black Dial Colored Strap) -W04BLK stores Amazon Fashion,Shocknshop Digital Sports Multi Functional Watch for Mens Boys (Black Dial Colored Strap) -W04BLK,3.2,301,₹349,"₹1,299",Amazon Fashion.csv
Classique Designer Jewellery Gold Plated Latest Fancy Red Stones Studded Three Layer Pearls Necklace Set For Women stores Amazon Fashion,Classique Designer Jewellery Gold Plated Latest Fancy Red Stones Studded Three Layer Pearls Necklace Set For Women,4.0,1,₹599,"₹2,199",Amazon Fashion.csv
"POND'S Sandal Radiance Talcum Powder, Natural Sunscreen, 300 g stores Amazon Fashion","POND'S Sandal Radiance Talcum Powder, Natural Sunscreen, 300 g",4.3,"2,095",₹297,₹350,Amazon Fashion.csv
Centrino Mens 3211 Sneakers stores Amazon Fashion,Centrino Mens 3211 Sneakers,3.2,270,₹649,"₹2,199",Amazon Fashion.csv
PUMA Laptop Backpack IND I Black- White stores Amazon Fashion,PUMA Laptop Backpack IND I Black- White,3.9,133,"₹1,099","₹1,999",Amazon Fashion.csv
"Colorbar Radiant White UV Compact Powder, Sandy Nude, 9g stores Amazon Fashion","Colorbar Radiant White UV Compact Powder, Sandy Nude, 9g",4.0,"1,329",₹210,₹300,Amazon Fashion.csv
KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 5} stores Amazon Fashion,KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 5},,,"₹1,849","₹1,949",Amazon Fashion.csv
Beardo Strong Hold Hair Spray | Hair Spray for Men | Hair Styling | Hair Setting Spray | Hair Fixing Spray | Strong Hold |... stores Amazon Fashion,Beardo Strong Hold Hair Spray | Hair Spray for Men | Hair Styling | Hair Setting Spray | Hair Fixing Spray | Strong Hold |...,4.0,"2,262",₹333,₹450,Amazon Fashion.csv
Watch Box Ohuhu 12 Slot Watch Case PU Leather Real Glass Lid Watch Display Case Watch Organizer Watches Storage Case for M... stores Amazon Fashion,Watch Box Ohuhu 12 Slot Watch Case PU Leather Real Glass Lid Watch Display Case Watch Organizer Watches Storage Case for M...,4.5,"7,756","₹1,499","₹1,999",Amazon Fashion.csv
AanyaCentric Gold Plated Chain Mala Fashion Jewelery Necklace for Women - Combo Pack of 2 stores Amazon Fashion,AanyaCentric Gold Plated Chain Mala Fashion Jewelery Necklace for Women - Combo Pack of 2,4.0,248,,,Amazon Fashion.csv
DailyObjects Skinny Fit Card Wallet stores Amazon Fashion,DailyObjects Skinny Fit Card Wallet,4.0,428,₹325,₹499,Amazon Fashion.csv
GETOREE Florence RFID Blocking Leather Wallet for Men (Blue) stores Amazon Fashion,GETOREE Florence RFID Blocking Leather Wallet for Men (Blue),4.0,196,₹479,"₹2,099",Amazon Fashion.csv
Shalimar Multipurpose Shade Net/Agro Net/Green Net - 75% (Green Colour ) ( 10 ft x 10 ft ) stores Amazon Fashion,Shalimar Multipurpose Shade Net/Agro Net/Green Net - 75% (Green Colour ) ( 10 ft x 10 ft ),4.4,"1,946",₹569.28,₹605,Amazon Fashion.csv
Leather World 8 Slots Vegan Leather Men Watch Box Display Organizer Case Women Storage Jewellery - Blue stores Amazon Fashion,Leather World 8 Slots Vegan Leather Men Watch Box Display Organizer Case Women Storage Jewellery - Blue,4.3,31,₹649,"₹2,899",Amazon Fashion.csv
Jewels Galaxy Stunning Gold Plated Multi Strand Bracelet For Women stores Amazon Fashion,Jewels Galaxy Stunning Gold Plated Multi Strand Bracelet For Women,3.5,221,₹202,"₹1,999",Amazon Fashion.csv
"Olay Luminous Vitamin C Super Serum,30 ml| with 99% pure Niacinamide,White,82316914 stores Amazon Fashion","Olay Luminous Vitamin C Super Serum,30 ml| with 99% pure Niacinamide,White,82316914",4.1,314,₹980,"₹1,999",Amazon Fashion.csv
"Neosafe A7025_8 Helix, High Ankle Black Safety Shoes with Steel Toe, Size 8 stores Amazon Fashion","Neosafe A7025_8 Helix, High Ankle Black Safety Shoes with Steel Toe, Size 8",4.0,"1,504","₹1,196","₹1,320",Amazon Fashion.csv
BLINKIN Women's Skinny Fit Leggings stores Amazon Fashion,BLINKIN Women's Skinny Fit Leggings,3.9,"4,306",₹378,"₹1,680",Amazon Fashion.csv
Instabuyz Leather Key Pouch Wallet for Unisex stores Amazon Fashion,Instabuyz Leather Key Pouch Wallet for Unisex,3.9,265,₹317,₹799,Amazon Fashion.csv
KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 1} stores Amazon Fashion,KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 1},,,₹499,₹599,Amazon Fashion.csv
"Villain Snake Perfume for Men 100ml | Ultra Long Lasting | Musk | Strong, Smoky, Sexy and Masculine| Premium EAU DE PARFU... stores Amazon Fashion","Villain Snake Perfume for Men 100ml | Ultra Long Lasting | Musk | Strong, Smoky, Sexy and Masculine| Premium EAU DE PARFU...",3.8,"2,158",₹599,₹950,Amazon Fashion.csv
YouBella Earrings for Women Jewellery Earrings Afghani Jhumka earrings ear rings for Girls and Women stores Amazon Fashion,YouBella Earrings for Women Jewellery Earrings Afghani Jhumka earrings ear rings for Girls and Women,3.9,219,₹195,"₹1,599",Amazon Fashion.csv
Disney Marvel Boys Avengers Basic Red & Black Digital Watch 4-12Years stores Amazon Fashion,Disney Marvel Boys Avengers Basic Red & Black Digital Watch 4-12Years,,,₹374,₹499,Amazon Fashion.csv
Rajnandini Women's Blue Cotton Printed Unstitched Salwar Suit Material (1058) stores Amazon Fashion,Rajnandini Women's Blue Cotton Printed Unstitched Salwar Suit Material (1058),3.5,802,₹375,"₹1,663",Amazon Fashion.csv
"Veirdo Men Sleeveless Tshirt, Printed Vest for Men, Cotton Sando for Gym, Cycling, Running, & Other Sports stores Amazon Fashion","Veirdo Men Sleeveless Tshirt, Printed Vest for Men, Cotton Sando for Gym, Cycling, Running, & Other Sports",4.1,"3,439",₹259,₹999,Amazon Fashion.csv
KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 5} stores Amazon Fashion,KAYU™ Boys Cotton Solid Regular Fit Capri 3/4th Pants {Pack of 5},,,"₹1,849","₹1,949",Amazon Fashion.csv
Trunkit Adventure Series Water Resistance Trekking Hiking Travel Bag with Shoe Compartment Rucksack - 55 L stores Amazon Fashion,Trunkit Adventure Series Water Resistance Trekking Hiking Travel Bag with Shoe Compartment Rucksack - 55 L,4.0,287,₹559,"₹2,599",Amazon Fashion.csv
IPCA ATC Ipca Acne-UV Gel Broad-Spectrum F 30 PA+++ UVA/UVB Gel (60 g) stores Amazon Fashion,IPCA ATC Ipca Acne-UV Gel Broad-Spectrum F 30 PA+++ UVA/UVB Gel (60 g),4.4,"1,228",₹729,₹798,Amazon Fashion.csv
Yellow Chimes Earrings for Women & Girls | Traditional Silver Oxidised Jhumka Set | German Silver Jhumka Combo | Chand Bal... stores Amazon Fashion,Yellow Chimes Earrings for Women & Girls | Traditional Silver Oxidised Jhumka Set | German Silver Jhumka Combo | Chand Bal...,4.0,692,₹199,₹999,Amazon Fashion.csv
Titan Regalia Analog White Dial Men's Watch-NL1927YM04 stores Amazon Fashion,Titan Regalia Analog White Dial Men's Watch-NL1927YM04,4.0,74,,"₹7,195",Amazon Fashion.csv
T-Rock Men's Sports Shoes stores Amazon Fashion,T-Rock Men's Sports Shoes,2.9,"9,601",₹298,₹998,Amazon Fashion.csv
"NHR Smart Kick Scooter for Kids, 3 Adjustable Height Scooter, Foldable & Attractive PVC Wheels with Rare Brakes for Kids A... stores Amazon Fashion","NHR Smart Kick Scooter for Kids, 3 Adjustable Height Scooter, Foldable & Attractive PVC Wheels with Rare Brakes for Kids A...",3.9,"1,625","₹1,249","₹2,200",Amazon Fashion.csv
FATMUG Packing Cubes Travel Pouch/Bag Suitcase Organiser Set of 4 (2 Medium and 2 Small) - Grey stores Amazon Fashion,FATMUG Packing Cubes Travel Pouch/Bag Suitcase Organiser Set of 4 (2 Medium and 2 Small) - Grey,4.5,265,₹699,₹999,Amazon Fashion.csv
Voylla Ethnic Silver Oxidised Plating Brass Mandala Design Floral Stud with Red Stone Enamelled Oxidized Round shaped Stud... stores Amazon Fashion,Voylla Ethnic Silver Oxidised Plating Brass Mandala Design Floral Stud with Red Stone Enamelled Oxidized Round shaped Stud...,3.9,36,₹214,₹449,Amazon Fashion.csv
USHA Mist Air Icy 400mm Table Fan Purple (Purple) stores Amazon Fashion,USHA Mist Air Icy 400mm Table Fan Purple (Purple),4.2,"7,819","₹2,149","₹2,340",Amazon Fashion.csv
"BAMBOS Eco Touch Men's Athletic Ankle Length Socks for Running & Gym, Pack of 3 Bamboo Fibre Socks (Size UK 7-11) stores Amazon Fashion","BAMBOS Eco Touch Men's Athletic Ankle Length Socks for Running & Gym, Pack of 3 Bamboo Fibre Socks (Size UK 7-11)",4.2,"3,342",₹599,₹999,Amazon Fashion.csv
