text,name,ratings,no_of_ratings,discount_price,actual_price,category_source
"Silvr Bear Luxury Satin Scrunchies for Women/Girls SAME 5 COLORS AS PIC | Anti-Hair-Breakage, Hair Ties, Scrunchies Set fo... stores Amazon Fashion","Silvr Bear Luxury Satin Scrunchies for Women/Girls SAME 5 COLORS AS PIC | Anti-Hair-Breakage, Hair Ties, Scrunchies Set fo...",4.5,"1,923",₹299,₹600,Amazon Fashion.csv
INOVERA (LABEL) Women Handbag stores Amazon Fashion,INOVERA (LABEL) Women Handbag,4.1,"7,143","₹1,249","₹1,999",Amazon Fashion.csv
GTA 5 (FULL PC GAME) - (No Online Multiplayer/No ACTIVATION* Code) -EMAIL DELIVERY IN 2 HRS ‎ ‎ stores Amazon Fashion,GTA 5 (FULL PC GAME) - (No Online Multiplayer/No ACTIVATION* Code) -EMAIL DELIVERY IN 2 HRS ‎ ‎,,,₹599,"₹1,999",Amazon Fashion.csv
"L'Oréal Paris Revitalift Serum, Hydrating and Plumping, With 1.5% Hyaluronic Acid, 15ml stores Amazon Fashion","L'Oréal Paris Revitalift Serum, Hydrating and Plumping, With 1.5% Hyaluronic Acid, 15ml",4.2,"15,562",₹450,₹499,Amazon Fashion.csv
"MILTON Helix 1000 Pet Water Bottle, Set of 4, 1 Litre Each, Assorted | BPA Free | 100% Leak Proof | Office Bottle | Gym Bo... stores Amazon Fashion","MILTON Helix 1000 Pet Water Bottle, Set of 4, 1 Litre Each, Assorted | BPA Free | 100% Leak Proof | Office Bottle | Gym Bo...",4.0,"1,542",₹324,₹540,Amazon Fashion.csv
Colour With Crayons Book 1 for Kids Age 1 -6 Years - Drawing and Colouring Book for Early Learners stores Amazon Fashion,Colour With Crayons Book 1 for Kids Age 1 -6 Years - Drawing and Colouring Book for Early Learners,4.2,"7,147",,₹80,Amazon Fashion.csv
"Soundproof Earmuffs, Anti-Noise Earmuffs Lightweight Compact Adjustment Foldable for Worker for for Shooter(Black) stores Amazon Fashion","Soundproof Earmuffs, Anti-Noise Earmuffs Lightweight Compact Adjustment Foldable for Worker for for Shooter(Black)",,,"₹3,539","₹7,078",Amazon Fashion.csv
Fastrack Analog Black Dial Unisex-Adult Watch-38024PP25 stores Amazon Fashion,Fastrack Analog Black Dial Unisex-Adult Watch-38024PP25,4.2,"6,882",,₹850,Amazon Fashion.csv
American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK) stores Amazon Fashion,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),4.1,"52,238","₹1,199","₹2,300",Amazon Fashion.csv
Inditradition 36 Grid Cells Plastic Multipurpose Jewelry Organizer Storage Box - Transparent stores Amazon Fashion,Inditradition 36 Grid Cells Plastic Multipurpose Jewelry Organizer Storage Box - Transparent,4.2,"1,464",₹229,₹500,Amazon Fashion.csv
BATA Women's Kafi Slipper stores Amazon Fashion,BATA Women's Kafi Slipper,3.9,"3,778",₹323,₹599,Amazon Fashion.csv
"Parachute Advansed Deep Nourish Body Lotion for Women & Men, Dry Skin, 400ml | Pure Coconut Milk, 100% Natural, 72h Moistu... stores Amazon Fashion","Parachute Advansed Deep Nourish Body Lotion for Women & Men, Dry Skin, 400ml | Pure Coconut Milk, 100% Natural, 72h Moistu...",4.2,"47,152",₹134,₹299,Amazon Fashion.csv
